record_id,date,region,sales_channel,customer_segment,product_category,revenue,units_sold,cost_of_goods,marketing_spend,customer_acquisition_cost,profit_margin,return_rate
1,2023-03-20,East,Phone,Regular,Toys,4577.12,29,509.28,412.56,60.51,0.438,0.023
2,2023-10-23,South,Mobile App,Regular,Toys,4099.89,17,4964.63,944.6,153.74,0.445,0.053
3,2022-03-08,South,Phone,Regular,Automotive,8004.72,92,2773.85,872.69,178.11,0.453,0.031
4,2022-11-07,Central,Online,Basic,Electronics,8130.53,44,4683.77,334.73,129.84,0.295,0.1
5,2023-06-02,East,In-Store,Premium,Electronics,3642.9,2,4311.56,559.33,111.6,0.493,0.081
6,2022-03-15,Central,Mobile App,Regular,Beauty,1212.13,49,3764.49,796.13,133.72,0.41,0.092
7,2021-06-28,North,Online,Basic,Food,4365.93,41,2686.95,439.55,164.68,0.246,0.056
8,2020-08-27,Central,Phone,Regular,Clothing,5372.96,63,1343.02,413.15,149.65,0.451,0.02
9,2021-02-08,South,Online,Basic,Clothing,2928.88,68,2055.19,514.85,17.11,0.411,0.137
10,2021-01-14,North,In-Store,Regular,Books,669.71,84,4304.73,548.97,72.8,0.329,0.111
11,2020-06-05,Central,Mobile App,Basic,Garden,8543.18,66,501.72,594.87,97.12,0.283,0.121
12,2022-05-31,Central,Mobile App,Basic,Garden,352.22,24,1638.37,852.84,113.26,0.125,0.013
13,2021-11-18,East,Mobile App,Basic,Books,3101.98,69,3464.13,727.96,172.71,0.348,0.086
14,2021-01-17,Central,Mobile App,Regular,Sports,1459.74,51,1029.86,826.57,47.88,0.114,0.012
15,2020-08-24,Central,Phone,Premium,Clothing,7950.43,17,2241.75,859.76,132.12,0.463,0.012
16,2023-07-25,South,In-Store,Basic,Electronics,4009.0,44,2631.26,924.53,106.56,0.205,0.03
17,2022-07-01,East,In-Store,Basic,Toys,6428.61,6,2616.28,463.17,125.35,0.257,0.135
18,2023-09-03,Central,In-Store,Premium,Food,6640.22,64,1203.01,582.1,162.39,0.434,0.091
19,2021-09-16,West,Phone,Basic,Clothing,1089.09,25,1323.75,227.0,40.88,0.166,0.025
20,2023-08-06,North,Online,Premium,Food,7672.09,59,3226.07,40.52,186.13,0.347,0.066
21,2023-12-25,East,Phone,Basic,Beauty,1057.64,35,4411.54,548.3,9.77,0.134,0.032
22,2022-08-05,Central,Phone,Basic,Toys,2268.68,79,4162.49,675.83,63.97,0.153,0.01
23,2021-04-20,East,Mobile App,Basic,Electronics,6178.56,63,1611.62,219.43,152.0,0.459,0.147
24,2020-01-11,Central,Phone,Basic,Books,2703.15,37,2635.73,375.65,172.37,0.267,0.052
25,2022-01-10,North,Mobile App,Premium,Books,2129.02,36,3729.12,582.89,109.95,0.376,0.069
26,2021-01-14,South,In-Store,Premium,Clothing,222.28,58,2798.44,229.79,177.07,0.21,0.073
27,2021-08-10,Central,Online,Regular,Books,5280.62,95,4458.0,532.53,84.84,0.135,0.038
28,2022-07-03,North,Online,Basic,Sports,3506.49,46,3021.08,717.43,139.5,0.491,0.142
29,2022-05-17,Central,Phone,Basic,Food,4634.3,52,4105.49,736.07,131.95,0.45,0.001
30,2020-09-26,North,Phone,Basic,Home,295.27,63,1494.39,913.11,88.91,0.191,0.06
31,2020-05-07,North,Mobile App,Premium,Sports,5237.39,13,4279.08,468.38,92.81,0.447,0.122
32,2023-06-29,West,Online,Basic,Electronics,5895.14,89,1515.58,218.4,121.83,0.427,0.043
33,2020-09-29,Central,Mobile App,Premium,Home,1302.75,45,3501.93,34.59,74.05,0.341,0.121
34,2022-03-17,West,Online,Basic,Automotive,422.08,1,1370.29,259.97,60.99,0.162,0.126
35,2020-11-04,South,Mobile App,Regular,Beauty,7706.95,93,2136.9,811.26,96.37,0.317,0.134
36,2020-09-22,Central,Mobile App,Premium,Beauty,9757.86,46,1815.21,95.47,119.93,0.431,0.042
37,2021-07-16,South,In-Store,Premium,Toys,9753.76,58,1198.27,961.64,183.68,0.138,0.019
38,2020-05-07,West,In-Store,Premium,Sports,5678.59,40,3631.12,539.39,93.58,0.373,0.149
39,2022-10-12,West,Online,Basic,Electronics,2296.05,95,2005.42,396.83,147.05,0.209,0.148
40,2020-07-31,Central,Online,Regular,Food,577.04,66,4873.76,729.72,100.58,0.234,0.051
41,2021-09-27,North,Phone,Basic,Toys,2246.24,11,3642.83,76.47,55.26,0.293,0.083
42,2021-09-29,Central,In-Store,Basic,Automotive,1628.52,71,4839.88,380.96,98.75,0.264,0.073
43,2021-02-22,West,Online,Basic,Home,6635.51,22,576.8,680.74,17.06,0.256,0.145
44,2021-08-16,South,Online,Basic,Toys,7166.23,33,1349.73,718.73,10.09,0.349,0.046
45,2020-05-23,East,Phone,Regular,Garden,3062.24,81,3537.66,387.87,85.52,0.354,0.109
46,2023-07-22,North,Online,Basic,Toys,8506.06,67,4324.67,925.39,140.66,0.195,0.048
47,2020-11-03,North,Online,Basic,Food,5807.11,98,1699.29,578.5,179.6,0.491,0.095
48,2023-08-20,East,In-Store,Premium,Automotive,7944.69,100,3134.35,479.2,72.71,0.18,0.117
49,2021-06-28,South,Online,Basic,Electronics,1614.86,9,1894.72,69.62,29.63,0.298,0.065
50,2021-03-07,South,In-Store,Premium,Food,6900.31,23,3918.91,728.81,147.46,0.493,0.072
51,2023-07-21,North,Mobile App,Basic,Books,5351.06,53,4966.78,452.53,160.88,0.38,0.084
52,2023-10-17,Central,Phone,Basic,Beauty,9307.05,95,4540.75,457.19,161.18,0.217,0.143
53,2021-10-01,North,Mobile App,Basic,Automotive,9622.52,33,1899.94,563.98,123.42,0.401,0.14
54,2022-12-03,North,Online,Regular,Sports,9552.98,50,2824.35,873.73,188.17,0.164,0.08
55,2023-07-31,West,In-Store,Premium,Sports,6124.54,46,2320.33,756.22,45.12,0.34,0.007
56,2023-10-16,Central,Mobile App,Regular,Home,8146.01,61,665.23,702.97,26.35,0.241,0.149
57,2022-12-28,South,Phone,Basic,Electronics,2259.24,76,95.12,909.49,109.02,0.307,0.145
58,2020-11-10,West,Online,Regular,Books,5293.11,77,94.93,556.79,98.18,0.464,0.106
59,2020-01-29,West,Phone,Regular,Books,6869.89,90,1196.21,957.44,114.71,0.438,0.118
60,2020-01-30,East,Phone,Premium,Toys,6481.07,62,3873.31,543.05,121.44,0.156,0.103
61,2021-01-13,South,In-Store,Basic,Garden,1135.18,12,3461.08,51.83,19.2,0.446,0.029
62,2023-07-02,South,Phone,Premium,Toys,6257.68,89,1877.78,627.46,45.99,0.247,0.052
63,2021-09-09,South,Phone,Regular,Sports,8905.49,75,2356.43,509.93,40.37,0.366,0.035
64,2023-01-13,West,Phone,Basic,Books,331.76,48,146.14,979.73,69.73,0.364,0.037
65,2022-02-05,East,Online,Basic,Sports,5083.82,37,109.06,779.39,126.64,0.259,0.022
66,2020-02-14,Central,Mobile App,Basic,Home,525.05,97,2956.78,122.79,59.44,0.154,0.112
67,2023-11-13,Central,Mobile App,Basic,Home,6752.44,92,1851.99,775.14,141.94,0.352,0.007
68,2020-03-23,West,Mobile App,Basic,Books,6244.12,69,4625.39,597.11,164.21,0.456,0.065
69,2020-07-11,West,Mobile App,Regular,Automotive,1402.87,10,3433.37,990.57,7.21,0.412,0.12
70,2022-01-30,West,Online,Regular,Toys,4323.53,50,3610.32,50.08,107.75,0.427,0.13
71,2021-08-16,West,In-Store,Premium,Toys,7335.01,70,4477.71,168.24,165.23,0.292,0.144
72,2021-09-17,East,Online,Basic,Beauty,7556.59,25,1426.92,665.03,164.75,0.332,0.124
73,2020-02-22,South,In-Store,Premium,Electronics,5900.67,87,1479.04,184.64,106.97,0.141,0.13
74,2023-06-11,East,In-Store,Regular,Books,2071.97,89,2001.17,365.79,60.57,0.148,0.007
75,2023-02-04,East,Phone,Regular,Automotive,8643.22,82,485.86,839.37,69.1,0.298,0.042
76,2022-08-21,South,In-Store,Regular,Sports,1387.88,72,4748.1,722.19,26.03,0.404,0.058
77,2021-01-11,East,Online,Premium,Sports,3356.92,52,3559.6,768.18,167.03,0.412,0.112
78,2023-08-31,West,In-Store,Basic,Clothing,9251.45,37,2010.42,675.08,71.88,0.345,0.138
79,2022-09-08,East,Mobile App,Premium,Garden,5921.5,55,1937.89,164.64,98.69,0.303,0.051
80,2023-11-16,North,In-Store,Regular,Food,3672.17,79,1721.39,822.77,140.96,0.177,0.071
81,2021-01-15,Central,Online,Regular,Automotive,1350.49,65,4654.94,610.97,115.96,0.273,0.013
82,2023-12-29,Central,Online,Basic,Automotive,2560.66,24,3427.04,824.4,170.94,0.201,0.137
83,2021-09-26,Central,Online,Premium,Automotive,7854.81,78,2719.66,614.01,147.73,0.475,0.001
84,2023-07-09,South,Online,Premium,Food,5178.7,89,4347.31,559.81,108.77,0.331,0.043
85,2020-08-25,West,Phone,Regular,Books,3073.55,100,2247.64,690.74,175.01,0.185,0.071
86,2020-03-31,Central,Online,Basic,Beauty,9266.36,55,115.97,687.43,64.59,0.171,0.091
87,2022-07-25,West,Phone,Basic,Electronics,3432.45,25,224.65,545.47,125.49,0.495,0.035
88,2021-03-31,South,Online,Regular,Clothing,3097.49,86,4687.51,683.41,105.59,0.17,0.047
89,2020-09-15,Central,Phone,Premium,Electronics,5249.3,43,2707.13,631.65,40.4,0.338,0.044
90,2023-06-29,South,Online,Regular,Food,2131.43,57,3037.57,60.7,97.7,0.275,0.141
91,2023-03-24,East,Online,Regular,Food,7124.07,92,4462.37,555.86,57.67,0.198,0.033
92,2021-12-24,West,Mobile App,Basic,Books,6669.16,89,3476.19,144.67,164.14,0.283,0.137
93,2022-01-01,South,In-Store,Premium,Clothing,5352.7,71,3077.69,204.5,59.39,0.346,0.065
94,2021-01-30,West,Mobile App,Basic,Automotive,8603.08,71,1890.2,465.28,143.98,0.247,0.016
95,2022-10-27,Central,Mobile App,Basic,Sports,9747.2,90,2367.51,956.05,170.02,0.316,0.095
96,2020-06-03,West,In-Store,Premium,Clothing,7581.78,11,1818.6,46.76,192.78,0.107,0.136
97,2023-06-03,West,Mobile App,Basic,Clothing,294.95,27,4297.96,190.2,187.24,0.222,0.144
98,2022-08-12,East,In-Store,Premium,Home,6899.05,73,509.13,738.54,111.79,0.134,0.078
99,2023-08-29,Central,Mobile App,Basic,Beauty,8354.45,41,2778.81,130.67,190.22,0.401,0.063
100,2023-04-02,East,Online,Basic,Books,2541.44,50,3129.1,488.88,58.34,0.455,0.046
101,2023-03-29,West,In-Store,Premium,Toys,8071.61,32,2748.96,951.51,124.56,0.454,0.05
102,2022-08-09,Central,Mobile App,Regular,Food,1423.56,99,3122.82,870.4,10.68,0.428,0.058
103,2022-01-09,Central,Mobile App,Premium,Beauty,6879.11,33,1511.91,438.24,82.18,0.336,0.089
104,2021-11-06,West,Mobile App,Premium,Books,8992.59,46,2375.07,806.41,45.63,0.156,0.118
105,2022-10-06,South,Mobile App,Premium,Beauty,5815.4,8,3310.9,230.25,56.59,0.459,0.085
106,2021-04-23,South,Mobile App,Basic,Automotive,6883.98,8,1940.24,468.87,178.48,0.196,0.121
107,2023-03-20,Central,Mobile App,Basic,Toys,9287.46,98,4608.56,692.97,53.04,0.403,0.149
108,2022-04-23,East,Mobile App,Premium,Garden,3478.28,79,2262.84,142.82,104.95,0.454,0.039
109,2023-02-10,Central,Phone,Basic,Automotive,2600.3,18,3325.34,844.4,91.26,0.491,0.013
110,2021-04-15,South,Mobile App,Regular,Books,2804.17,61,2254.17,29.28,145.15,0.116,0.031
111,2023-08-13,West,In-Store,Regular,Beauty,3622.07,77,2845.08,175.06,124.11,0.216,0.093
112,2022-05-05,Central,In-Store,Regular,Garden,2659.78,24,2461.3,211.06,35.28,0.286,0.012
113,2020-11-25,North,Phone,Regular,Home,6248.98,66,325.61,939.18,45.43,0.329,0.06
114,2021-02-27,East,In-Store,Premium,Automotive,9473.37,93,205.12,105.02,132.17,0.232,0.044
115,2020-09-12,Central,Online,Basic,Automotive,2107.05,27,1810.99,211.5,44.94,0.473,0.007
116,2020-10-20,Central,Phone,Basic,Beauty,7947.7,6,461.52,590.09,95.56,0.233,0.122
117,2020-03-04,Central,Phone,Regular,Automotive,765.18,19,3948.03,692.67,79.27,0.173,0.118
118,2021-09-16,South,In-Store,Premium,Books,3694.73,35,4973.56,345.84,60.68,0.395,0.013
119,2023-07-16,North,In-Store,Premium,Books,5402.65,60,2034.64,655.18,86.14,0.375,0.059
120,2023-09-15,West,Mobile App,Regular,Electronics,204.55,76,1524.85,484.86,124.93,0.496,0.088
121,2023-03-10,North,In-Store,Regular,Food,6828.54,57,3442.93,872.02,87.91,0.208,0.1
122,2022-03-10,South,Online,Regular,Beauty,6341.7,15,3254.95,669.08,46.42,0.435,0.016
123,2023-09-05,East,Phone,Premium,Books,779.27,47,635.84,205.7,77.82,0.368,0.135
124,2023-08-16,Central,Online,Premium,Electronics,6952.45,25,500.34,339.08,13.2,0.216,0.141
125,2020-09-02,West,Phone,Regular,Books,9306.01,78,639.88,866.64,88.29,0.145,0.024
126,2022-10-19,North,Phone,Basic,Toys,7079.99,88,2272.43,194.76,141.79,0.355,0.12
127,2021-06-22,Central,In-Store,Regular,Electronics,2807.21,31,1228.45,373.54,141.6,0.437,0.01
128,2020-08-06,West,Mobile App,Regular,Automotive,4302.51,82,1887.46,160.91,198.31,0.396,0.071
129,2020-11-23,West,Online,Premium,Clothing,3457.03,5,1038.17,134.12,186.24,0.492,0.099
130,2020-02-24,Central,Phone,Premium,Toys,7238.76,77,1014.58,945.25,99.73,0.16,0.131
131,2022-06-18,West,Online,Premium,Home,3717.85,91,4022.34,525.01,158.69,0.15,0.101
132,2023-07-11,East,Mobile App,Basic,Food,6422.91,54,727.17,115.3,142.41,0.222,0.069
133,2020-07-29,East,Mobile App,Premium,Home,3546.24,40,2075.63,248.83,86.4,0.397,0.147
134,2020-07-26,East,Mobile App,Basic,Automotive,5691.3,57,3773.61,34.73,95.25,0.165,0.029
135,2020-03-25,North,Online,Regular,Automotive,6417.37,47,4835.36,190.45,108.83,0.32,0.034
136,2022-11-15,East,Phone,Basic,Home,845.22,27,763.7,639.2,21.8,0.369,0.006
137,2023-06-25,Central,Mobile App,Premium,Electronics,6778.87,90,3532.54,848.27,93.42,0.223,0.114
138,2021-05-21,West,In-Store,Premium,Books,5868.51,40,3772.31,830.05,197.94,0.339,0.079
139,2020-09-17,South,Mobile App,Regular,Books,292.27,52,4051.56,321.94,29.17,0.386,0.032
140,2021-02-10,Central,Online,Premium,Electronics,6004.16,58,2746.18,277.07,8.64,0.403,0.132
141,2021-10-06,West,Mobile App,Basic,Sports,3132.27,35,1684.24,210.89,11.26,0.393,0.132
142,2023-06-10,West,Mobile App,Basic,Toys,8139.25,54,2371.76,644.07,108.59,0.227,0.009
143,2022-02-12,Central,Phone,Premium,Food,3154.15,61,1360.63,805.08,127.79,0.214,0.083
144,2021-01-19,East,In-Store,Premium,Clothing,1237.62,98,218.01,457.85,123.85,0.478,0.048
145,2021-11-02,West,Phone,Premium,Clothing,7462.13,99,3894.18,176.2,15.22,0.396,0.063
146,2023-03-25,North,Online,Basic,Toys,2311.35,99,3228.43,152.0,140.56,0.474,0.104
147,2020-10-28,West,In-Store,Premium,Electronics,7356.32,85,2730.43,283.81,126.52,0.314,0.018
